Room type,Price,Location,URL
Habitación Individual · Sólo chicas,380 €/mes,"Casco Histórico, Centro, Alcalá de Henares, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicos,400 €/mes,"Ambroz, Vicálvaro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicos,400 €/mes,"Ambroz, Vicálvaro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,425 €/mes,"Fuente del Berro, Salamanca, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,400 €/mes,"Pueblo Nuevo, Ciudad Lineal, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble · Sólo chicos,750 €/mes,"Guindalera, Salamanca, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble · Sólo chicos,750 €/mes,"Guindalera, Salamanca, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,320 €/mes,"Comillas, Carabanchel, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,320 €/mes,"Comillas, Carabanchel, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,550 €/mes,"Centro, Getafe, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,390 €/mes,"Aluche, Latina, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,450 €/mes,"Aluche, Latina, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,450 €/mes,"Vinateros, Moratalaz, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,360 €/mes,"Brezo-Guardia Civil, Valdemoro, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,350 €/mes,"Brezo-Guardia Civil, Valdemoro, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,460 €/mes,"Las Margaritas-Universidad, Getafe, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,330 €/mes,"Adelfas, Retiro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,400 €/mes,"Centro, Alcobendas, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,375 €/mes,"San Isidro, Getafe, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,460 €/mes,"Justicia-Chueca, Centro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,490 €/mes,"Centro, Alcobendas, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,440 €/mes,"Centro, Alcobendas, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,330 €/mes,"Centro, Alcobendas, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,450 €/mes,"Alpedrete, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,450 €/mes,"Alpedrete, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,450 €/mes,"Guindalera, Salamanca, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,300 €/mes,"Entrevías, Puente de Vallecas, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble · Sólo chicas,700 €/mes,"Sol, Centro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,450 €/mes,"Cortes-Huertas, Centro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,450 €/mes,"Casco, Rivas-Vaciamadrid, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble · Sólo chicos,450 €/mes,"Casco, Rivas-Vaciamadrid, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,780 €/mes,"Goya, Salamanca, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,490 €/mes,"San Isidro, Estación, Centro, Alcalá de Henares, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,550 €/mes,"Acacias, Arganzuela, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,550 €/mes,"Acacias, Arganzuela, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicos,690 €/mes,"Embajadores-Lavapiés, Centro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,410 €/mes,"Lucero, Latina, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,470 €/mes,"Delicias, Arganzuela, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,420 €/mes,"Ibiza, Retiro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,420 €/mes,"Ibiza, Retiro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,550 €/mes,"Vista Alegre, Carabanchel, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,520 €/mes,"Vista Alegre, Carabanchel, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,330 €/mes,"Valdelasfuentes-Norte, Alcobendas, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,380 €/mes,"Bellas Vistas, Tetuán, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,270 €/mes,"Norte-Universidad, Móstoles, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,425 €/mes,"Navalcarnero, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicos,450 €/mes,"Hispanoamérica, Chamartín, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,860 €/mes,"Goya, Salamanca, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,500 €/mes,"Centro, Móstoles, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,500 €/mes,"Centro, Móstoles, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,550 €/mes,"Centro, Getafe, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,450 €/mes,"Castilla, Chamartín, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,450 €/mes,"Entrevías, Puente de Vallecas, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,485 €/mes,"Las Tablas, Fuencarral-El Pardo, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,350 €/mes,"Brezo-Guardia Civil, Valdemoro, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,370 €/mes,"Aluche, Latina, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,500 €/mes,"Jerónimos, Retiro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,500 €/mes,"Jerónimos, Retiro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,430 €/mes,"Alpedrete, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,270 €/mes,"Cabanillas de La Sierra, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,450 €/mes,"Paracuellos de Jarama, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,350 €/mes,"Cenicientos, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,350 €/mes,"Valderas-Los Castillos-Parque Lisboa, Alcorcón, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,350 €/mes,"Valderas-Los Castillos-Parque Lisboa, Alcorcón, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,600 €/mes,"Goya, Salamanca, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,600 €/mes,"Goya, Salamanca, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,525 €/mes,"Ventas, Ciudad Lineal, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,440 €/mes,"Núcleo Urbano, Villanueva de la Cañada, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,540 €/mes,"Núcleo Urbano, Villanueva de la Cañada, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,750 €/mes,"Legazpi, Arganzuela, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,215 €/mes,"Puerta Bonita, Carabanchel, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,710 €/mes,"Trafalgar, Chamberí, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,710 €/mes,"Trafalgar, Chamberí, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,430 €/mes,"Alpedrete, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,A consultar,"Ríos Rosas, Chamberí, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,475 €/mes,"Universidad-Malasaña, Centro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,500 €/mes,"Castellana, Salamanca, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,1.000 €/mes,"Ríos Rosas, Chamberí, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
